Sales Enquiry as of 31/10/2025,,,,,,,,,
Order Date,Product Code,Product,Customer,Product Group,Warehouse,Status,Quantity,Sub Total,Customer Type
28/10/2025,Fee,Fee,PROKURE Aus PTY LTD - Alternative Brewing,,Main Warehouse,Backordered,1,909.09,AUS Wholesale
28/10/2025,PF00GA-WHPOM-HY,Pesado HYBRID Naked Portafilter GA  - White FullPOM,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,2,108.00,AUS Wholesale
28/10/2025,PF02MV-WHZ-HY,Pesado HYBRID Double Spouted Portafilter 5mm E61 - White/Haze,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,2,212.72,AUS Wholesale
28/10/2025,HG6356,HG6333/HG2605 Liquid Holder,PROKURE Aus PTY LTD - Alternative Brewing,Tiamo Cold Drip,Main Warehouse,Backordered,5,360.00,AUS Wholesale
28/10/2025,MANUSBK,MANUSBK,PROKURE Aus PTY LTD - Alternative Brewing,Dolo,Main Warehouse,Backordered,24,"34,909.09",AUS Wholesale
28/10/2025,EP-20g,EP-20g Pesado Basket -electro polished basket,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,16.36,AUS Wholesale
28/10/2025,JugRinser_SealKit,Tiamo Jug rinser seal kit,PROKURE Aus PTY LTD - Alternative Brewing,Tiamo,Main Warehouse,Backordered,1,13.63,AUS Wholesale
28/10/2025,PSDcrusher-Gold,Pesado Clump Crusher - Gold,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,24.00,AUS Wholesale
28/10/2025,AB3070JRS-Box,Artisan Barista Jug Rinser Small - Benchtop Stand,PROKURE Aus PTY LTD - Alternative Brewing,The Artisan Barista,Main Warehouse,Backordered,1,27.27,AUS Wholesale
28/10/2025,AB3070JRL-Box,Artisan Barista Jug Rinser Large - Benchtop Stand,PROKURE Aus PTY LTD - Alternative Brewing,The Artisan Barista,Main Warehouse,Backordered,1,32.72,AUS Wholesale
28/10/2025,JRStarSS,TiAmo Stainless Steel Jug Rinser Star,PROKURE Aus PTY LTD - Alternative Brewing,Tiamo,Main Warehouse,Backordered,1,24.82,AUS Wholesale
28/10/2025,PF00LM-BGD-HY,Pesado HYBRID Naked Portafilter LM 6mm - Black/Gold,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,81.82,AUS Wholesale
28/10/2025,HG6372,Cold Drip Liquid Holder 2650,PROKURE Aus PTY LTD - Alternative Brewing,Tiamo Cold Drip,Main Warehouse,Backordered,1,84.00,AUS Wholesale
28/10/2025,PF00BR58BK-Iris-HY,Pesado HYBRID Naked Portafilter Breville 58mm - Black/Iris,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,87.27,AUS Wholesale
28/10/2025,PF00BR54BK-Iris-HY,Pesado HYBRID Naked Portafilter Breville 54mm - Black/Iris,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,87.27,AUS Wholesale
28/10/2025,PSDTMDAWDk,Pesado Tamper w/ Depth Adjuster - White/Dusk,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,87.27,AUS Wholesale
28/10/2025,PSDTMDABBz,Pesado Tamper w/ Depth Adjuster - Black/Bronze,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,87.27,AUS Wholesale
28/10/2025,PSDTMDAWHIris,Pesado Tamper w/ Depth Adjuster - White/Iris,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,98.18,AUS Wholesale
28/10/2025,HG6370-1,HG2650 Water Bowl,PROKURE Aus PTY LTD - Alternative Brewing,Tiamo Cold Drip,Main Warehouse,Backordered,1,99.27,AUS Wholesale
28/10/2025,PF00GA-WHPOM-HY,Pesado HYBRID Naked Portafilter GA  - White FullPOM,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,2,108.00,AUS Wholesale
28/10/2025,CA3070R-BZ,C Accessories - Metallic Bronze Dosing Ring,PROKURE Aus PTY LTD - Alternative Brewing,Coffee Accessories,Main Warehouse,Backordered,2,27.26,AUS Wholesale
28/10/2025,PSDTMBKRiga,Pesado Tamper - Black/Riga,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,2,141.82,AUS Wholesale
28/10/2025,PSDTMBSl,Pesado Tamper - Black/Silver,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,2,130.91,AUS Wholesale
28/10/2025,HG6329-2,Liquid Container for HG6329,PROKURE Aus PTY LTD - Alternative Brewing,Tiamo Cold Drip,Main Warehouse,Backordered,2,108.00,AUS Wholesale
28/10/2025,PF00BR54-BSL-HY,Pesado HYBRID Naked Portafilter Breville 54mm - Black/Silver,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,2,163.63,AUS Wholesale
28/10/2025,PSDNS,Pesado Competition Shower Screen - Nuova Simonelli,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,3,57.28,AUS Wholesale
28/10/2025,HC7107TB,Tiamo Tapered Jug 450ml - Teal Blue,PROKURE Aus PTY LTD - Alternative Brewing,Tiamo,Main Warehouse,Backordered,3,69.59,AUS Wholesale
28/10/2025,HC7107PK,Tiamo Tapered Jug 450ml - Pink,PROKURE Aus PTY LTD - Alternative Brewing,Tiamo,Main Warehouse,Backordered,3,69.59,AUS Wholesale
28/10/2025,HC7125TB,C Accessories 1lt Jug Teal Blue,PROKURE Aus PTY LTD - Alternative Brewing,Coffee Accessories,Main Warehouse,Backordered,3,49.91,AUS Wholesale
28/10/2025,Squeaky-Rocket,Rocket Air Blower - coffee grinder cleaner,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,3,89.82,AUS Wholesale
28/10/2025,PF00GA-FullPOM-HY,Pesado HYBRID Naked Portafilter GA  - Black FullPOM,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,3,162.00,AUS Wholesale
28/10/2025,CA3070R-BK,C Accessories - Metallic Black Dosing Ring,PROKURE Aus PTY LTD - Alternative Brewing,Coffee Accessories,Main Warehouse,Backordered,4,54.53,AUS Wholesale
28/10/2025,HC7123PK,C Accessories 300ml Jug Pink,PROKURE Aus PTY LTD - Alternative Brewing,Coffee Accessories,Main Warehouse,Backordered,4,41.45,AUS Wholesale
28/10/2025,EP-18g,EP-18g Pesado Basket - electro polished basket,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,4,65.45,AUS Wholesale
28/10/2025,HC7125BK,C Accessories 1lt Jug Black,PROKURE Aus PTY LTD - Alternative Brewing,Coffee Accessories,Main Warehouse,Backordered,4,66.55,AUS Wholesale
28/10/2025,BC0478GD,Shot Collar - Gold,PROKURE Aus PTY LTD - Alternative Brewing,Tiamo,Main Warehouse,Backordered,4,91.20,AUS Wholesale
28/10/2025,PSD-HE-SM,Pesado He[%] Basket - Small,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,4,185.45,AUS Wholesale
28/10/2025,AB3070S-BU,Artisan Barista - Barista Precision Scale - Sky Blue,PROKURE Aus PTY LTD - Alternative Brewing,The Artisan Barista,Main Warehouse,Backordered,4,192.00,AUS Wholesale
28/10/2025,PSDTMBBk,Pesado Tamper - Black/Black,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,4,261.82,AUS Wholesale
28/10/2025,HG6371,HG2650 Ground Holder,PROKURE Aus PTY LTD - Alternative Brewing,Tiamo Cold Drip,Main Warehouse,Backordered,4,261.82,AUS Wholesale
28/10/2025,ABGR01-WH,Artisan Barista Conical Burr grinder - White,PROKURE Aus PTY LTD - Alternative Brewing,The Artisan Barista,Main Warehouse,Backordered,4,360.00,AUS Wholesale
28/10/2025,AB3070S-PK,Artisan Barista - Barista Precision Scale - Pink Lemonade,PROKURE Aus PTY LTD - Alternative Brewing,The Artisan Barista,Main Warehouse,Backordered,5,240.00,AUS Wholesale
28/10/2025,AB3070S-CH,Artisan Barista - Barista Precision Scale - Arcade Charcoal,PROKURE Aus PTY LTD - Alternative Brewing,The Artisan Barista,Main Warehouse,Backordered,5,240.00,AUS Wholesale
28/10/2025,AB3070JRL,Artisan Barista - Black Jug Rinser Large,PROKURE Aus PTY LTD - Alternative Brewing,The Artisan Barista,Main Warehouse,Backordered,5,690.00,AUS Wholesale
28/10/2025,HC7123WH,C Accessories 300ml Jug White,PROKURE Aus PTY LTD - Alternative Brewing,Coffee Accessories,Main Warehouse,Backordered,6,62.17,AUS Wholesale
28/10/2025,HC7123TB,C Accessories 300ml Jug Teal Blue,PROKURE Aus PTY LTD - Alternative Brewing,Coffee Accessories,Main Warehouse,Backordered,6,62.17,AUS Wholesale
28/10/2025,AB3070S-WH,Artisan Barista - Barista Precision Scale - White,PROKURE Aus PTY LTD - Alternative Brewing,The Artisan Barista,Main Warehouse,Backordered,6,288.00,AUS Wholesale
28/10/2025,HG2605,HG2605,PROKURE Aus PTY LTD - Alternative Brewing,Tiamo Cold Drip,Main Warehouse,Backordered,6,"1,099.64",AUS Wholesale
28/10/2025,HC7124WH,C Accessories 600ml Jug White,PROKURE Aus PTY LTD - Alternative Brewing,Coffee Accessories,Main Warehouse,Backordered,7,89.71,AUS Wholesale
28/10/2025,V2-PSDcrusher-Stand,Pesado V2 Clump Crusher Stand (WDT tool),PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,7,109.20,AUS Wholesale
28/10/2025,EP-BR-18g,EP-BR-18g Pesado Basket - electro polished basket,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,7,114.53,AUS Wholesale
28/10/2025,Squeaky-HOM,HOM - Aroma Display Tool  for coffee,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,7,209.58,AUS Wholesale
28/10/2025,HG6356,HG6333/HG2605 Liquid Holder,PROKURE Aus PTY LTD - Alternative Brewing,Tiamo Cold Drip,Main Warehouse,Backordered,2,144.00,AUS Wholesale
28/10/2025,V2-PSD-distributor,Pesado Impact-Gravity Distributor 58.5mm,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,7,630.00,AUS Wholesale
28/10/2025,HG2713,HG2713 Cold Drip Brown,PROKURE Aus PTY LTD - Alternative Brewing,Tiamo Cold Drip,Main Warehouse,Backordered,7,"1,246.81",AUS Wholesale
28/10/2025,HC7124BK,C Accessories 600ml Jug Black,PROKURE Aus PTY LTD - Alternative Brewing,Coffee Accessories,Main Warehouse,Backordered,8,102.53,AUS Wholesale
28/10/2025,PSD-PinUP,Pesado WDT tool Pin upgrade,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,8,109.10,AUS Wholesale
28/10/2025,PSDHY,Pesado HYBRID Double Spouted Attachment - (LM 6mm - NS - BR 58),PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,8,152.74,AUS Wholesale
28/10/2025,PSD-Beanstand,Magnetic Bean Stand,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,8,360.00,AUS Wholesale
28/10/2025,PSD-HE-54,Pesado He[%] Basket - Breville 54mm,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,8,370.90,AUS Wholesale
28/10/2025,PSD-HE-ME,Pesado He[%] Basket - Medium,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,8,370.90,AUS Wholesale
28/10/2025,PSD-puck-54,Pesado Puck Diffuser Screen 54mm,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,9,135.00,AUS Wholesale
28/10/2025,HC7123BK,C Accessories 300ml Jug Black,PROKURE Aus PTY LTD - Alternative Brewing,Coffee Accessories,Main Warehouse,Backordered,9,93.26,AUS Wholesale
28/10/2025,PSDdosingCup-BK-54,Pesado 54mm Dosing Cup - Black,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,9,171.83,AUS Wholesale
28/10/2025,PSDcrusherIRIS,Pesado Clump Crusher - Iris,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,9,216.00,AUS Wholesale
