Production Enquiry as of 31/10/2025,,,,,,,,,
Assembly Number,Assembly Date,Assemble By,Product Code,Product Description,Product Group,Warehouse,Quantity,Total Cost,Assembly Status
ASM-00031817,,30/10/2025,PFH00BR58-HY,Pesado HYBRID Naked Portafilter Head Only Breville 58mm,PESADO,Main Warehouse,-1,-17.50,Parked
ASM-00031817,,30/10/2025,PF02BR58-FullPOM-HY,Pesado HYBRID Double Spouted Portafilter Breville 58mm - Full POM,PESADO,Main Warehouse,1,32.38,Parked
ASM-00031816,,30/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031816,,30/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031816,,30/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
ASM-00031815,,30/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031815,,30/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031815,,30/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
ASM-00031814,,30/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Parked
ASM-00031814,,30/10/2025,PFMOD2-Riga,Pesado Portafilter Multi Handle Module 2 - Riga,PESADO,Main Warehouse,-1,-6.98,Parked
ASM-00031814,,30/10/2025,PFMOD1-White,Pesado Portafilter Multi  Handle Module 1 - White,PESADO,Main Warehouse,-1,-3.10,Parked
ASM-00031814,,30/10/2025,PFH00BR54-HY,Pesado HYBRID Naked Portafilter Head Only Breville 54mm,PESADO,Main Warehouse,-1,-17.47,Parked
ASM-00031814,,30/10/2025,PF00BR54WH-Riga-HY,Pesado HYBRID Naked Portafilter Breville 54mm - White/Riga,PESADO,Main Warehouse,1,27.94,Parked
ASM-00031813,,30/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031813,,30/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031813,,30/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
ASM-00031812,,30/10/2025,PSDHY-BR,Pesado HYBRID Double Spouted Attachment - (Breville 54),PESADO,Main Warehouse,-1,-9.46,Parked
ASM-00031812,,30/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Parked
ASM-00031812,,30/10/2025,PFMOD2-Black,Pesado Portafilter Multi  Handle Module 2 - Black,PESADO,Main Warehouse,-1,-11.01,Parked
ASM-00031812,,30/10/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Parked
ASM-00031812,,30/10/2025,PFH00BR54-HY,Pesado HYBRID Naked Portafilter Head Only Breville 54mm,PESADO,Main Warehouse,-1,-17.47,Parked
ASM-00031812,,30/10/2025,PF02BR54-BBK-HY,Pesado HYBRID Double Spouted Portafilter Breville 54mm - Black/Black,PESADO,Main Warehouse,1,41.43,Parked
ASM-00031811,,30/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031811,,30/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
